Kode #Nama Barang,Kode #,Nama Barang
100001AYAM DADA FILLET - CP,100001,AYAM DADA FILLET - CP
100004BAWANG PUTIH - CP,100004,BAWANG PUTIH - CP
100006CABE RAWIT - CP,100006,CABE RAWIT - CP
100011GULA -RESTO,100011,GULA - RESTO
100016KULIT PANGSIT,100016,KULIT PANGSIT
100017LPG 12KG,100017,LPG 12KG
100025TEPUNG ROTI,100025,TEPUNG ROTI
100026WORTEL - CP,100026,WORTEL - CP
100028MIE,100028,MIE
100030TEPUNG TERIGU SEGITIGA,100030,TEPUNG TERIGU SEGITIGA
100032KULIT PANGSIT (KULIT SIOMAY) - CP,100032,KULIT PANGSIT (KULIT SIOMAY) - CP
100037BASIC MIE,100037,BASIC MIE
100039BIANG AYAM CINCANG - CP,100039,BIANG AYAM CINCANG - CP
100040TAHU - CP,100040,TAHU - CP
100041AIR MINERAL BOTOL,100041,AIR MINERAL BOTOL
100042BUAH BELIMBING,100042,BUAH BELIMBING
100044BUAH PEER,100044,BUAH PEER
100045BUAH STRAWBERRY,100045,BUAH STRAWBERRY
100046CINCAU,100046,CINCAU
100047BUAH APEL,100047,BUAH APEL
100049JELLY BUBBLE,100049,JELLY BUBBLE
100050JELLY MIE,100050,JELLY MIE
100051LEMON TEA - NESTLE,100051,LEMON TEA - NESTLE
100052MILO,100052,MILO
100053NATA DE COCO,100053,NATA DE COCO
100054ORANGE - NESTLE,100054,ORANGE - NESTLE
100056SIRUP MOCCA,100056,SIRUP MOCCA
100058SUN QUICK LEMON,100058,SUN QUICK LEMON
100059TEA GOPEK,100059,TEA GOPEK
100060TEA NAGA,100060,TEA NAGA
100061TEA TARIK - NESTLE,100061,TEA TARIK - NESTLE
100062VANILLA LATTE - NESTLE,100062,VANILLA LATTE - NESTLE
100063JERUK NIPIS,100063,JERUK NIPIS
100064SUSU KENTAL MANIS,100064,SUSU KENTAL MANIS
100065SUSU ULTRA UHT FULL CREAM,100065,SUSU ULTRA UHT FULL CREAM
100068CREAMER,100068,CREAMER
100069BLACK THAI TEA,100069,BLACK THAI TEA
100070GREEN THAI TEA,100070,GREEN THAI TEA
100071SUSU EVAPORASI,100071,SUSU EVAPORASI
100074BIANG PANGSIT - CP,100074,BIANG PANGSIT - CP
100077BAWANG BOMBAY - CP,100077,BAWANG BOMBAY - CP
100084UDANG KUPAS - CP,100084,UDANG KUPAS - CP
100093AYAM PAHA FILLET - CP,100093,AYAM PAHA FILLET - CP
100094KULIT TAHU KECIL - CP,100094,KULIT TAHU KECIL - CP
100095KEJU,100095,KEJU
100096PLASTIK VACUM BESAR 23 X 34,100096,PLASTIK VACUM BESAR 23 X 34
100097PLASTIK VACUM SEDANG 20 X 30,100097,PLASTIK VACUM SEDANG 20 X 30
100100HD PLASTIK TICTAS 15X17 (DUREN 2),100100,HD PLASTIK TICTAS 15X17 (DUREN 2)
100102HD PLASTIK TICTAS 15X30X50 (DUREN 3),100102,HD PLASTIK TICTAS 15X30X50 (DUREN 3)
100103ADONAN PANGSIT,100103,ADONAN PANGSIT
100108BAWANG GORENG,100108,BAWANG GORENG
100109MINYAK MIE,100109,MINYAK MIE
100116JAMUR HITAM (SHITAKE) KERING 3KG,100116,JAMUR HITAM (SHITAKE) KERING 3KG
100117POWDER ES COKLAT - NESTLE,100117,POWDER ES COKLAT - NESTLE
100119KECAP SAWI POUCH,100119,KECAP SAWI POUCH
100120KESET BIHUN GULUNG (POTONGAN),100120,KESET BIHUN GULUNG (POTONGAN)
100121SURAI NAGA (v.20),100121,SURAI NAGA (v.20)
100122KRUPUK MIE (v.20),100122,KRUPUK MIE (v.20)
100124CABE RAWIT - RESTO,100124,CABE RAWIT - RESTO
100129TELUR - RESTO,100129,TELUR - RESTO
100130DAUN BAWANG/BRAMBANG - RESTO,100130,DAUN BAWANG/BRAMBANG - RESTO
100132TEPUNG TELUR,100132,TEPUNG TELUR
100133MINYAK GORENG - CP (v.20),100133,MINYAK GORENG - CP (v.20)
100134DIPPING FINNA SACHET,100134,DIPPING FINNA SACHET
100135POTASSIUM SORBAT - CP,100135,POTASSIUM SORBAT - CP
100138BIANG DIMSUM BASAH - CP v.20,100138,BIANG DIMSUM BASAH - CP v.20
100139BIANG DIMSUM KERING - CP v.20,100139,BIANG DIMSUM KERING - CP v.20
100143MINYAK GORENG - RESTO (v.20),100143,MINYAK GORENG - RESTO (v.20)
100144PAPER PLATE MIE,100144,PAPER PLATE MIE
100151PAPER PLATE DIMSUM,100151,PAPER PLATE DIMSUM
100152GARAM - RESTO,100152,GARAM - RESTO
100154TEPUNG DIMSUM - CP v.30,100154,TEPUNG DIMSUM - CP v.30
100155IPAL - NEW CP,100155,IPAL - NEW CP
100157LEMON TEA - AW,100157,LEMON TEA - AW
100158ORANGE - AW,100158,ORANGE - AW
100159VANILLA LATTE - AW,100159,VANILLA LATTE - AW
100160COKLAT - AW,100160,COKLAT - AW
100161TEA TARIK - AW,100161,TEA TARIK - AW
100162SIRUP ROSE (V.20),100162,SIRUP ROSE (V.20)
100163SIRUP LECHY (V.20),100163,SIRUP LECHY (V.20)
100164TOPPING DAUN KERING MIE - RESTO,100164,TOPPING DAUN KERING MIE - RESTO
100165TEXTURED VEGETABLE PROTEINS,100165,TEXTURED VEGETABLE PROTEINS
100166SUSU KENTAL MANIS POUCH,100166,SUSU KENTAL MANIS POUCH
100167UDANG THAWING,100167,UDANG THAWING
100168NIPIS MADU,100168,NIPIS MADU
200004DITEKTOR UANG PALSU,200004,DITEKTOR UANG PALSU
200011KURSI KANTOR,200011,KURSI KANTOR
200021MEJA KANTOR,200021,MEJA KANTOR
200032RAK KONTAINER KECIL,200032,RAK KONTAINER KECIL
200033RAK SEPATU KARYAWAN,200033,RAK SEPATU KARYAWAN
200036TANGKI BOILER,200036,TANGKI BOILER
200040BALON WHISK,200040,BALON WHISK
200041BOTOL DIPPING BESAR,200041,BOTOL DIPPING BESAR
200042BOTOL KECAP KECIL,200042,BOTOL KECAP KECIL
200043BOTOL SPRAY,200043,BOTOL SPRAY
200044CAPIT SNACK ( BESAR ),200044,CAPIT SNACK ( BESAR )
200047CETING TRADISI ( BESAR ),200047,CETING TRADISI ( BESAR )
200048CETING TRADISI ( KECIL ),200048,CETING TRADISI ( KECIL )
200052DANDANG ACIN UK 60,200052,DANDANG ACIN UK 60
200053DISPENSER,200053,DISPENSER
200056EROS MELAMINE UK BESAR,200056,EROS MELAMINE UK BESAR
200062EROS STAINLESS UK 30 CC,200062,EROS STAINLESS UK 30 CC
200065EROS STAINLESS UK BESAR,200065,EROS STAINLESS UK BESAR
200067FOOD PAN KECIL,200067,FOOD PAN KECIL
200068GARPU ADUKAN MIE,200068,GARPU ADUKAN MIE
200070GARPU MAKAN,200070,GARPU MAKAN
200071GAS BURNER ( LONG SHUN ),200071,GAS BURNER ( LONG SHUN )
200078GELAS KARYAWAN,200078,GELAS KARYAWAN
200081GELAS MINUMAN HANGAT,200081,GELAS MINUMAN HANGAT
200083GELAS TEA,200083,GELAS TEA
200084GELAS UKUR,200084,GELAS UKUR
200085GELAS UKUR 130 ML,200085,GELAS UKUR 130 ML
200086GOLOK,200086,GOLOK
200089JIGGER UK 20/30,200089,JIGGER UK 20/30
200090JIGGER UK 20/40,200090,JIGGER UK 20/40
200091JIGGER UK 30/40,200091,JIGGER UK 30/40
200092KLAKAT DIMSUM,200092,KLAKAT DIMSUM
200101NAMPAN KARET BULAT,200101,NAMPAN KARET BULAT
200102NAMPAN KAYU KOTAK,200102,NAMPAN KAYU KOTAK
200105PANCI DANDANG DIMSUM UK 36,200105,PANCI DANDANG DIMSUM UK 36
200106PANCI ENDAPAN MINYAK UK 40,200106,PANCI ENDAPAN MINYAK UK 40
200108PANCI MIE,200108,PANCI MIE
200111PANCI ORCHID UK 28,200111,PANCI ORCHID UK 28
200113PANCI ORCHID UK 32 CM,200113,PANCI ORCHID UK 32 CM
200114PANCI ORCHID UK 36,200114,PANCI ORCHID UK 36
200122PEMUKUL DAGING,200122,PEMUKUL DAGING
200127PIRING HAWAI BLACK,200127,PIRING HAWAI BLACK
200130PIRING PLASTIK,200130,PIRING PLASTIK
200132PISAU BUAH BESAR,200132,PISAU BUAH BESAR
200133PISAU BUAH KECIL,200133,PISAU BUAH KECIL
200139PRAXIS KEEPER UK 900ML,200139,PRAXIS KEEPER UK 900ML
200142SARINGAN MIE,200142,SARINGAN MIE
200143SARINGAN MINYAK,200143,SARINGAN MINYAK
200145SARINGAN TEH GACOAN,200145,SARINGAN TEH GACOAN
200149SENDOK ES STAINLESS,200149,SENDOK ES STAINLESS
200150SENDOK MAKAN STAINLESS,200150,SENDOK MAKAN STAINLESS
200152SENDOK TAKAR 12 GRM,200152,SENDOK TAKAR 12 GRM
200153SENDOK TAKAR PLASTIK,200153,SENDOK TAKAR PLASTIK
200154SENDOK TAKAR STAINLESS,200154,SENDOK TAKAR STAINLESS
200155SEROK ACIN,200155,SEROK ACIN
200156SEROK BESAR,200156,SEROK BESAR
200157SEROK BESAR KAWAT,200157,SEROK BESAR KAWAT
200158SEROK ICE,200158,SEROK ICE
200161SHAKER 750,200161,SHAKER 750
200165SPATULA MIE IBLIS ( SODET COKLAT ),200165,SPATULA MIE IBLIS ( SODET COKLAT )
200166SPATULA STAINLESS,200166,SPATULA STAINLESS
200167STIK DRUM,200167,STIK DRUM
200168SUTIL,200168,SUTIL
200170TALENAN PLASTIK,200170,TALENAN PLASTIK
200172TEFLON SEALER,200172,TEFLON SEALER
200173TEKO BESAR ( BIANG TEH ),200173,TEKO BESAR ( BIANG TEH )
200176TERMOS AIR,200176,TERMOS AIR
200180TIMBANGAN 5 KG,200180,TIMBANGAN 5 KG
200182TIMER DIGITAL,200182,TIMER DIGITAL
200184TOPLES UK 18 LTR,200184,TOPLES UK 18 LTR
200185TOPLES UK 4 LTR,200185,TOPLES UK 4 LTR
200187TOPLES UK 9 LTR,200187,TOPLES UK 9 LTR
